"Word";"Phonetics";"DateEntryWord";"Definition";"RandomNumber";"CounterWords";"CumulWord";"Transl_F";"TypeOfWord";"Sentence";"DateSource";"TitleOfArticle";"Content";"Source"
"flaw";"2";12.3.1994 00:00:00;" ";25;0;0;"(in jewel, character, argument etc) d�faut, imperfection";"adjectif";"At a major manufacturer, a manager who preached quality found that a part in the tractors coming off his assembly line was defective and would burn out after 300 hours of use rather than the specified 1000 hours. The manager could ship the tractors coming";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to burn out (3)";"d";12.3.1994 00:00:00;" ";198;0;0;"vi [fire, candle] s��treindre; [light bulb] griller, sauter";"adjectif";"At a major manufacturer, a manager who preached quality found that a part in the tractors coming off his assembly line was defective and would burn out after 300 hours of use rather than the specified 1000 hours. The manager could ship the tractors coming";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to come off";"2";12.3.1994 00:00:00;" ";55;0;0;"vi (button) se d�tacher, se d�coudre
(take place) avoir lieu, se produire
(succeed) [plans etc] se r�aliser";"adjectif";"At a major manufacturer, a manager who preached quality found that a part in the tractors coming off his assembly line was defective and would burn out after 300 hours of use rather than the specified 1000 hours. The manager could ship the tractors coming";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to scoff at";"d";1.5.1996 00:00:00;;700;0;0;" ";"adjectif";"The meter readers in Boca Raton wanted to form a team to study the problem. Under the old culture, management would have scoffed at such a notion as a waste of time.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to freeze in his tracks";" ";12.3.1994 00:00:00;" ";213;0;0;"rester fig� sur place";"adjectif";"For years after Walt Disney�s death his ghost stalked the halls of the company�s studios in Burbank, California, causing executives to freeze in their tracks and wonder, "" What would Walt have done ?""";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"stodgy";" ";12.3.1994 00:00:00;" ";23;0;0;"adj. (*fig.) book indigeste; (*) person rassis, sans imagination";"adjectif";"The new crew, freed of the spectral overseer, began to create a culture that was more sophisticated than stodgy, more adventurous than cautious, more ambitious than content.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to turn things around";" ";12.3.1994 00:00:00;" ";88;0;0;"renverser la situation";"adjectif";"They have turned the company around by daring to make grownup films like The Color of Money which would have irked old Walt Disney.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"backwater";" ";12.3.1994 00:00:00;" ";6;0;0;"(pool) eau stagnante; (fig: peaceful spot) (petit) coin tranquille";"adjectif";"Management at Florida&Light is changing its culture from that of a bureaucratic backwater to one that worships quality and service.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to worship";" ";12.3.1994 00:00:00;" ";113;0;0;"vt (gen) adorer, v�n�rer, avoir  un culte pour";"adjectif";"Management at Florida&Light is changing its culture from that of a bureaucratic backwater to one that worships quality and service.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to put through";"d";12.3.1994 00:00:00;" ";700;0;0;"vt sep (make complete) deal conclure, mener � bien
decision prendre";"adjectif";"Managers seeking a way to think about the process might reflect that a company trying to improve its culture is like a person trying to improve his character. The only reason people put themselves through it is that it�s correspondingly satisfying and val";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"During slack periods";" ";12.3.1994 00:00:00;" ";143;0;0;"(weeks,months etc.) pendant les jours/mois creux;
(in the day) aux heures creuses";"adjectif";"During slack times when three of the four team members could easily handle the job, one could take off a few hours in the afternoon to go to a school play or bring a sick kid to the doctor.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to take it on the chin";" ";12.3.1994 00:00:00;" ";267;0;0;"(fig.) encaisser*";"adjectif";"After a decade of restructuring, layoffs, and astronomical CEO salaries, worker trust has taken it on the chin.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"distrustful";" ";12.3.1994 00:00:00;" ";202;0;0;"adj. m�fiant, qui se m�fie (of de)";"adjectif";"Making an angry, distrustful worker a believer requires fiddling with deep-rooted values.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"ludicrous";" ";12.3.1994 00:00:00;" ";208;0;0;"adj. ridicule, risible";"adjectif";"""It�s ludicrous to think that you can build trust unless people view you as trustworthy.""";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to oversee";" ";12.3.1994 00:00:00;" ";229;0;0;"vt surveiller";"adjectif";"When people trust you, you don�t have to ride them, and that means fewer managers can oversee more people.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to ride";" ";12.3.1994 00:00:00;" ";113;0;0;"(*:esp US:nag etc) �tre toujours sur le dos de *";"adjectif";"When people trust you, you don�t have to ride them, and that means fewer managers can oversee more people.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to mingle with";"d";12.3.1994 00:00:00;;700;0;1;" ";"adjectif";"Tandem CEO Treybig remembers suggesting that a couple of visiting managers spend a half day on the assembly line. They balked, thinking it a waste of time to mingle with blue-collar workers.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"get-together";" ";12.3.1994 00:00:00;" ";36;0;0;"(petite) r�union";"adjectif";"For the past 15 years Tandem every Friday afternoon has put on its legendary get-togethers, once known as beer busts but now called popcorn parties.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to put on";"d";12.3.1994 00:00:00;" ";700;0;0;"(make available etc) concert, play, show organiser
film projeter";"adjectif";"For the past 15 years Tandem every Friday afternoon has put on its legendary get-togethers, once known as beer busts but now called popcorn parties.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"maverick";" ";12.3.1994 00:00:00;" ";28;0;0;"adj. dissident, non-conformiste";"adjectif";"Scour the company to find some maverick manager who has figured out how to do it right -achieving high quality, good morale. Then hold up this department or factory as a kind of university where employees can learn how others have succeeded.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to hold up as an example";"d";12.3.1994 00:00:00;" ";700;0;0;"vt (support) soutenir";"adjectif";"Scour the company to find some maverick manager who has figured out how to do it right -achieving high quality, good morale. Then hold up this department or factory as a kind of university where employees can learn how others have succeeded.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to scour";" ";12.3.1994 00:00:00;" ";91;0;0;"vt pan, sink r�curer
table, floor frotter
(search) parcourir";"adjectif";"Scour the company to find some maverick manager who has figured out how to do it right -achieving high quality, good morale. Then hold up this department or factory as a kind of university where employees can learn how others have succeeded.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to instill";" ";12.3.1994 00:00:00;" ";91;0;0;"vt. courage etc. insuffler (into sb � qn); 
knowledge, principles inculquer (into sb � qn)
idea, fact faire comprendre";"adjectif";"Something as simple as an award can help make a culture more innovative. The privilege instills pride and gets other employees scrambling for new ideas and products in the hope that they too may make the team.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to scramble for";"d";12.3.1994 00:00:00;" ";113;0;0;"coins, seats se bousculer pour (avoir), se disputer; job etc faire des pieds et des mains pour (avoir)";"adjectif";"Something as simple as an award can help make a culture more innovative. The privilege instills pride and gets other employees scrambling for new ideas and products in the hope that they too may make the team.";15.1.1990 00:00:00;"Creating a new company culture";;"Fortune"
"to embolden";" ";27.4.1996 00:00:00;" ";0;0;0;"vt. enhardir";"adjectif";"The more porous the ban, the more the opportunities for illegal trading. Already South Africa and Botswana are on the smugglers�routes. An ambiguous result in Lausanne could embolden the trade and undermine enforcement efforts in Africa.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to undermine";" ";27.4.1996 00:00:00;" ";0;0;0;"(fig) influence, power, authority saper, �branler; health miner, user
effect amoindrir";"adjectif";"The more porous the ban, the more the opportunities for illegal trading. Already South Africa and Botswana are on the smugglers�routes. An ambiguous result in Lausanne could embolden the trade and undermine enforcement efforts in Africa.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"carver (1)";;27.4.1996 00:00:00;" ";0;0;0;"personne qui d�coupe";"adjectif";"Last year Japanese carvers turned and estimated 64 tons of tusks into as many as a million hanko, or personalized name seals.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"seal";" ";27.4.1996 00:00:00;" ";0;0;0;"(stamping device) sceau, cachet; (on document) sceau, cachet";"adjectif";"Last year Japanese carvers turned and estimated 64 tons of tusks into as many as a million hanko, or personalized name seals.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"curb";" ";27.4.1996 00:00:00;" ";0;0;0;"(fig) frein; (on trade etc) restriction";"adjectif";"Over recent decades the trade became concentrated in the Far East, where ivory ornaments are highly prized. Until this year�s trade curbs. Japan, the largest consumer, took in some 40% of the world�s ivory, in contrast to about one-third for the US and Eu";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to butcher";" ";27.4.1996 00:00:00;" ";0;0;0;"vt. animal tuer, abattre; person �gorger, massacrer";"adjectif";"This century saw ivory become a raw material for industry. In the 1920s thousands of elephants were butchered to meet US demands for 60.000 ivory billiard balls a year and for hundreds of thousands of piano keys.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"greedy";" ";27.4.1996 00:00:00;" ";0;0;0;"adj. (for money, power etc) avide (for de), rapace, cupide";"adjectif";"In the past century, traders greedy for ivory attacked and burned African villages. Natives were sold into slavery and forced to shoulder the tusks out of the interior.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"anklet";" ";27.4.1996 00:00:00;" ";0;0;0;"bracelet or anneau de cheville";"adjectif";"For more than 5000 years, ivory�s creamy luminescence, durability and grace under the carver�s blade have fascinated humanity. Ivory anklets and combs have been found in ancient Egyptian tombs.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"carver (2)";;27.4.1996 00:00:00;" ";0;0;0;"(Culin: knife) couteau � d�couper; personne qui d�coupe";"adjectif";"For more than 5000 years, ivory�s creamy luminescence, durability and grace under the carver�s blade have fascinated humanity. Ivory anklets and combs have been found in ancient Egyptian tombs.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"comb";" ";27.4.1996 00:00:00;" ";0;0;0;"peigne; [fowl] cr�te";"adjectif";"For more than 5000 years, ivory�s creamy luminescence, durability and grace under the carver�s blade have fascinated humanity. Ivory anklets and combs have been found in ancient Egyptian tombs.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"creamy";" ";27.4.1996 00:00:00;" ";0;0;0;"adj. cr�meux; complexion (teinte) cr�me";"adjectif";"For more than 5000 years, ivory�s creamy luminescence, durability and grace under the carver�s blade have fascinated humanity. Ivory anklets and combs have been found in ancient Egyptian tombs.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to beset";"d";27.4.1996 00:00:00;;700;0;0;" ";"adjectif";"An equally powerful coalition is opposed to a global ban. Those few southern African countries - Zimbabwe, Botswana and South Africa- that have not been beset by poachers cull their herds to maintain the elephant populations at optimum levels. That cullin";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to cull";" ";27.4.1996 00:00:00;" ";0;0;0;"vt. (remove inferior items, animals etc) �liminer, supprimer";"adjectif";"An equally powerful coalition is opposed to a global ban. Those few southern African countries - Zimbabwe, Botswana and South Africa- that have not been beset by poachers cull their herds to maintain the elephant populations at optimum levels. That cullin";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"lure";" ";27.4.1996 00:00:00;" ";0;0;0;"(U) (charm: of sea, travel etc) attrait, charme; 
(false attraction) app�t, pi�ge";"adjectif";"They (Tanzania, Kenya) argue that it will take decades for elephant herds to begin to recover, and that as long as there is any legal trade, the lure of profits will entice poachers and smugglers to beat the system.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to beat the system";" ";27.4.1996 00:00:00;" ";0;0;0;"(fig) trouver le joint";"adjectif";"They (Tanzania, Kenya) argue that it will take decades for elephant herds to begin to recover, and that as long as there is any legal trade, the lure of profits will entice poachers and smugglers to beat the system.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to entice";" ";27.4.1996 00:00:00;" ";0;0;0;"vt. attirer (towards vers), entra�ner; (with false promises) leurrer";"adjectif";"They (Tanzania, Kenya) argue that it will take decades for elephant herds to begin to recover, and that as long as there is any legal trade, the lure of profits will entice poachers and smugglers to beat the system.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"behemoth";" ";5.4.1996 00:00:00;" ";0;0;0;"Enormous creature";"adjectif";"In ritual greeting the two behemoths entwine their trunks, flap their enormous ears and clack tusk against tusk, sending the cold crack of ivory across the Ngulia Hills.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"crack";;30.4.1996 00:00:00;" ";432;0;0;"???";"adjectif";"In ritual greeting the two behemoths entwine their trunks, flap their enormous ears and clack tusk against tusk, sending the cold crack of ivory across the Ngulia Hills.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to clack";" ";5.4.1996 00:00:00;" ";0;0;0;"vi claquer; (fig) jacasser";"adjectif";"In ritual greeting the two behemoths entwine their trunks, flap their enormous ears and clack tusk against tusk, sending the cold crack of ivory across the Ngulia Hills.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to entwine";" ";5.4.1996 00:00:00;" ";0;0;0;"vt. stems, ribbons entrelacer;
(twist around) enlacer (with de)";"adjectif";"In ritual greeting the two behemoths entwine their trunks, flap their enormous ears and clack tusk against tusk, sending the cold crack of ivory across the Ngulia Hills.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"bidding";" ";22.4.1994 00:00:00;" ";0;0;0;"(order) ordre, commandement";"adjectif";"Noriega and Ceausescu created secret police forces to do their bidding, and both suppressed opponents without mercy.";;"When Tyrants Fall";;"Time"
"to bubble up";"d";22.4.1994 00:00:00;" ";0;0;0;"vi. [liquid] monter en bouillonant
[excitement etc.] monter";"adjectif";"On Christmas Eve in Timisoara, the border city where the uprising against Ceausescu first bubbled up, a young woman stood in a field, rocking back and forth, crying softly.";;"A Kaleidoscope of Chaos";;"Time"
"to spite";" ";22.4.1994 00:00:00;" ";0;0;0;"vt. vexer, contrarier";"adjectif";"These bodies too had ben subjected to efforts to render them unrecognizable, an obvious attempt not only to spite those the victims left behind but also to intimidate them.";;"A Kaleidoscope of Chaos";;"Time"
"to dim";" ";22.4.1994 00:00:00;" ";0;0;0;;"adjectif";"Even so, nothing could dim the realization that Rumania had entered a new era.";;"A Kaleidoscope of Chaos";;"Time"
"breeding";" ";27.4.1996 00:00:00;" ";0;0;0;"(reproduction) reproduction, procr�ation";"adjectif";"That is because tusk sizes during the period fell from about 18 lbs to 9 lbs. Older elephants have been wiped out in many herds, and younger animals are now the targets. Breeding patterns have been disrupted.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to disrupt";" ";27.4.1996 00:00:00;" ";0;0;0;"vt. peace, relations, train, service perturber; plans d�ranger";"adjectif";"That is because tusk sizes during the period fell from about 18 lbs to 9 lbs. Older elephants have been wiped out in many herds, and younger animals are now the targets. Breeding patterns have been disrupted.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to wipe out";"d";27.4.1996 00:00:00;" ";700;0;0;"(annihilate) town, people, army an�antir";"adjectif";"That is because tusk sizes during the period fell from about 18 lbs to 9 lbs. Older elephants have been wiped out in many herds, and younger animals are now the targets. Breeding patterns have been disrupted.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to make great strides";" ";27.4.1996 00:00:00;" ";0;0;0;"faire de grands progr�s";"adjectif";"In Lausanne that commitment will be tested. Japan has made admirable strides to restrict the trade, but its long-term stand remains a wild card.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to curb";" ";27.4.1996 00:00:00;" ";0;0;0;"(fig) impatience, passion refr�ner, ma�triser, contenir
expenditure r�duire, restreindre";"adjectif";"In 1985 when the organization (CITES) announced its plan to register all tusks as part of an ivory-control system, conservationists hoped the illegal trade would be curbed.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to graze";" ";27.4.1996 00:00:00;" ";0;0;0;"(touch lightly) fr�ler, raser, effleurer";"adjectif";"Kitagawa, 47, is a stern man who presides over an industry in turmoil. He was twelve when he was introduced to what has been his family�s business for nearly a century. (ivory business)";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to preside (over)";" ";27.4.1996 00:00:00;"[A2 pass emph rel]
o: meeting, rally, dinner";0;0;0;" ";"adjectif";"Kitagawa, 47, is a stern man who presides over an industry in turmoil. He was twelve when he was introduced to what has been his family�s business for nearly a century. (ivory business)";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"turmoil";" ";27.4.1996 00:00:00;" ";0;0;0;"agitation, trouble; (emotional) trouble, �moi";"adjectif";"Kitagawa, 47, is a stern man who presides over an industry in turmoil. He was twelve when he was introduced to what has been his family�s business for nearly a century. (ivory business)";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"awash";" ";27.4.1996 00:00:00;" ";0;0;0;"adj. (flooded) inond� (with de)";"adjectif";"Until the early 1980s, the flow of undocumented ivory into Japan went virtually unchecked. The country was awash in bogus documents used to launder ivory smuggled out of Africa.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"bogus";" ";27.4.1996 00:00:00;" ";0;0;0;"adj. faux, bidon";"adjectif";"Until the early 1980s, the flow of undocumented ivory into Japan went virtually unchecked. The country was awash in bogus documents used to launder ivory smuggled out of Africa.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to launder";" ";27.4.1996 00:00:00;" ";0;0;0;"vt. stolen money blanchir, rendre honorable";"adjectif";"Until the early 1980s, the flow of undocumented ivory into Japan went virtually unchecked. The country was awash in bogus documents used to launder ivory smuggled out of Africa.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"blatant";;27.4.1996 00:00:00;" ";0;0;0;"adj. injustice, lie etc. criant, flagrant
bully, social climber �hont�.";"adjectif";"Some of the most blatant corruption has occurred in Tanzania. Last year a member of the country�s parliament, Alli Abdurabi, was discovered with 105 tusks.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"crackdown";" ";27.4.1996 00:00:00;" ";0;0;0;"mesures �nergiques (contre); mesures de r�pression (contre)";"adjectif";"Despite crackdowns, the poachers are undaunted. Just two weeks ago, in a predawn raid on a farm, Namibian officials seized 980 tusks. 
The trade could not continue on such a scale without the collusion of African officials.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"predawn???";" ";27.4.1996 00:00:00;" ";0;0;0;;"adjectif";"Despite crackdowns, the poachers are undaunted. Just two weeks ago, in a predawn raid on a farm, Namibian officials seized 980 tusks. 
The trade could not continue on such a scale without the collusion of African officials.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"undaunted";" ";27.4.1996 00:00:00;" ";0;0;0;"adj. non intimid�, non effray� (by par)";"adjectif";"Despite crackdowns, the poachers are undaunted. Just two weeks ago, in a predawn raid on a farm, Namibian officials seized 980 tusks. 
The trade could not continue on such a scale without the collusion of African officials.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"ammunition";" ";27.4.1996 00:00:00;" ";0;0;0;"munitions";"adjectif";"Among the larger bands of poachers, some men are designated as cooks, others as porters, assigned to lug the ammunition, mosquito netting and axes for cutting off tusks.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"preserve";" ";4.2.1996 00:00:00;" ";0;0;0;"la chasse gard�e";"adjectif";"Among the larger bands of poachers, some men are designated as cooks, others as porters, assigned to lug the ammunition, mosquito netting and axes for cutting off tusks.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to cut off (2)";"d";27.4.1996 00:00:00;" ";700;0;0;;"adjectif";"Among the larger bands of poachers, some men are designated as cooks, others as porters, assigned to lug the ammunition, mosquito netting and axes for cutting off tusks.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to lug";" ";27.4.1996 00:00:00;" ";0;0;0;"vt tra�ner, tirer";"adjectif";"Among the larger bands of poachers, some men are designated as cooks, others as porters, assigned to lug the ammunition, mosquito netting and axes for cutting off tusks.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"cosy , (US) cozy";" ";27.4.1996 00:00:00;" ";0;0;0;"adj. room douillet, confortable;
atmosphere: douillet";"adjectif";"The secretariat defends its cozy relationship with the ivory business. Eugene Lapointe, CITES secretary-general, says inadequate financial support from governments left the group little choice but to turn to the trade for money.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"frantically";" ";27.4.1996 00:00:00;" ";0;0;0;"adv. wave fr�n�tiquement; run comme un fou";"adjectif";"They and their wealthy customers do not understand the high cost of this trade. They do not see the herds mowed down by automatic assault rifles, the tusks frantically hacked from the skulls and the orphaned and wounded elephants left to die.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"skull";" ";27.4.1996 00:00:00;" ";0;0;0;"cr�ne";"adjectif";"They and their wealthy customers do not understand the high cost of this trade. They do not see the herds mowed down by automatic assault rifles, the tusks frantically hacked from the skulls and the orphaned and wounded elephants left to die.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to hack";" ";27.4.1996 00:00:00;" ";0;0;0;"vt (cut) hacher, tailler";"adjectif";"They and their wealthy customers do not understand the high cost of this trade. They do not see the herds mowed down by automatic assault rifles, the tusks frantically hacked from the skulls and the orphaned and wounded elephants left to die.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to mow down";"d";27.4.1996 00:00:00;" ";29;0;1;"vt sep (fig) people, troops faucher";"adjectif";"They and their wealthy customers do not understand the high cost of this trade. They do not see the herds mowed down by automatic assault rifles, the tusks frantically hacked from the skulls and the orphaned and wounded elephants left to die.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"in collusion with";" ";27.4.1996 00:00:00;" ";0;0;0;"de complicit� avec, de connivence avec";"adjectif";"Theoretically, that serial number allows nations to trace the tusk as it passes from country to country in trade. But many quotas have been ill-considered or ignored, falsified export documents have been discovered in numerous nations, and corrupt officia";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to skirt";" ";27.4.1996 00:00:00;" ";0;0;0;"vt. (go round) contourner, longer; (miss, avoid) town, obstacle contourner, �viter";"adjectif";"Theoretically, that serial number allows nations to trace the tusk as it passes from country to country in trade. But many quotas have been ill-considered or ignored, falsified export documents have been discovered in numerous nations, and corrupt officia";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"ban";" ";27.4.1996 00:00:00;" ";0;0;0;"interdit; (Com) embargo";"adjectif";"The delegates must decide whether to declare the elephant an endangered species, an action that would trigger a global ban on the international ivory trade. The proposal has sparked rancorous debate, both inside and outside Africa, over whether such a ban";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to spark";" ";27.4.1996 00:00:00;" ";0;0;0;"rebellion, complaints, quarrel provoquer, d�clencher";"adjectif";"The delegates must decide whether to declare the elephant an endangered species, an action that would trigger a global ban on the international ivory trade. The proposal has sparked rancorous debate, both inside and outside Africa, over whether such a ban";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"outrage";" ";27.4.1996 00:00:00;" ";0;0;0;"(act, event) atrocit�; (emotion) (sentiment d�) intense indignation";"adjectif";"Such scenes of slaughter, a tragedy overlooked for years, are at last forcing their way into the public consciousness. Reports of the elephant�s plight are now stirring outrage in every part of the world.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"plight";;27.4.1996 00:00:00;" ";0;0;0;"situation critique, �tat critique";"adjectif";"Such scenes of slaughter, a tragedy overlooked for years, are at last forcing their way into the public consciousness. Reports of the elephant�s plight are now stirring outrage in every part of the world.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to stir";"d";27.4.1996 00:00:00;;0;0;0;" ";"adjectif";"Such scenes of slaughter, a tragedy overlooked for years, are at last forcing their way into the public consciousness. Reports of the elephant�s plight are now stirring outrage in every part of the world.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
