"ID_Word_I";"Word";"TypeOfWord";"Artikel_ref";"Nature_ref";"Sentence";"F-translation";"DateEntryWord";"DateSource";"Source_ref";"TitleOfArticle";"Definition_I";"RandomNumber";"CounterWord";"CumulWord";"Gramm"
16;"primario";;"il";0;"All´operazione era seguito un lungo periodo di immobilizzazione nel gesso. Rimosso quest´ultimo, il primario ortopedico dell´ospedale di L. aveva consigliato un ricovero nel nostro reparto per la riabilitazione degli arti traumatizzati.";"le médecin-chef";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
17;"disagio";;"il";0;"Il mio assistente, dottor Vignoli, gli fece notare, a quel punto, che avrebbe potuto ricevere le stesse nostre cure a Milano: con minor disagio, per uno come lui che risiedeva nella metropoli lombarda.";"(privazione) la privation;
le désagrément, la gêne";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
18;"degènza";;"la";0;"""A Milano con mancano ottimi servizi di recupero motorio dove potrebbe praticare le cure ambulatorialmente, evitando la degenza e il conseguente fastidio per i suoi familiari"". Ribatté Terenzi: ""La ringrazio per il consiglio, dottore, ma fortunatamente vi";"(a letto) l´alitement;
(in ospedale) le séjour à l´hôpital, l´hospitalisation";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
19;"ribàttere";;;0;"""A Milano con mancano ottimi servizi di recupero motorio dove potrebbe praticare le cure ambulatorialmente, evitando la degenza e il conseguente fastidio per i suoi familiari"". Ribatté Terenzi: ""La ringrazio per il consiglio, dottore, ma fortunatamente vi";"(fig.) répliquer, rétorquer";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
20;"solèrzia";;"la";0;"L´indomani l´avvocato Luigi Terenzi iniziò i suoi trattamenti eseguendo con solerzia e impegno tutto ciò che la terapista ordinava. Garbato con tutti, sorridente, non faceva pesare la sua posizione.";"la diligence";25.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
21;"garbato";;;0;"L´indomani l´avvocato Luigi Terenzi iniziò i suoi trattamenti eseguendo con solerzia e impegno tutto ciò che la terapista ordinava. Garbato con tutti, sorridente, non faceva pesare la sua posizione.";"agg. courtois, poli";25.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
22;"appartàrsi";;;0;"Al termine delle sedute terapeutiche, anziché appartarsi, cercava di stabilire rapporti cordiali con gli altri degenti: chiedeva notizie sui loro infortuni, li incoraggiava.
- appartarsi dagli altri";"vrifl. s´écarter, se tenir à l´écart
- s´isoler";25.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
23;"degènte";;"il";0;"Al termine delle sedute terapeutiche, anziché appartarsi, cercava di stabilire rapporti cordiali con gli altri degenti: chiedeva notizie sui loro infortuni, li incoraggiava.";"agg e s. m. e f. le malade, l´alité";25.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
24;"stesura";;"la";0;"Dopo una settimana, nelle ore libere dalle cure cominciò a occuparsi più concretamente dei problemi - personali o legali- dei malati. Iniziò con consigli, pareri, poi passò alla stesura di lettere, istanze, comparse. Prima di avviare questa attività - che";"la redaction;
(testo redatto) la version";25.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
25;"civetteria";;"la";0;"Dopo una settimana, nelle ore libere dalle cure cominciò a occuparsi più concretamente dei problemi - personali o legali- dei malati. Iniziò con consigli, pareri, poi passò alla stesura di lettere, istanze, comparse. Prima di avviare questa attività - che";"la coquetterie";25.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
26;"avviàre";;;0;"Dopo una settimana, nelle ore libere dalle cure cominciò a occuparsi più concretamente dei problemi - personali o legali- dei malati. Iniziò con consigli, pareri, poi passò alla stesura di lettere, istanze, comparse. Prima di avviare questa attività - che";"- commencer, mettre en train; avviare una nuova costruzione
- entamer, engager, amorcer: avviare una trattativa; avviare un colloquio";25.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
27;"sopruso";;"il";0;"L´avvocato mi spiegò che c´erano malati bisognosi di assistenza giuridica poiché, per timidezza o per mancanza di soldi, non potevano rivolgersi al tribunale rimanendo così vittime di soprusi e ingiustizie.";"l´injustice, la brimade;
(abuso) l´abus";26.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
28;"postumi";;"i";0;"""Prendiamo il caso del Viganò, quel ragazzo brianzolo che ha perso quattro dita della mano sotto una pressa. L´Istituto assicuratore si rifiuta di pagare i postumi invalidanti permanenti, sostenendo chi il Viganò va soggetto a crisi epilettiche.""";"les séquelles, les suites";26.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
29;"brianzolo";;;0;"""Prendiamo il caso del Viganò, quel ragazzo brianzolo che ha perso quattro dita della mano sotto una pressa. L´Istituto assicuratore si rifiuta di pagare i postumi invalidanti permanenti, sostenendo chi il Viganò va soggetto a crisi epilettiche.""";"??";26.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
30;"scuotere";;;0;"Vignoli, allora, ci guardò e intervenne, scuotendo il capo: "" Eppure in quell´uomo cè qualcosa di poco chiaro""
- la triste notizia l´ha scosso";"vtr. secouer, remuer: - la testa; - i tappeti
(fig) secouer, bouleverser:";26.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
31;"rilievo";;"il";0;"In verità, il rilievo di Vignoli sulle mancate visite a Terenzi aveva un fondamento sul quale da tempo riflettevo. Parlando un giorno con suor Angela, Terenzi aveva rivelato che nel suo studio lavoravano due giovani avvocati e tre impiegate.
Sorprendente";"(fig: osservazione) la remarque, critique;
(fig: importanza) l´importance";26.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
32;"costoro";;;0;"In verità, il rilievo di Vignoli sulle mancate visite a Terenzi aveva un fondamento sul quale da tempo riflettevo. Parlando un giorno con suor Angela, Terenzi aveva rivelato che nel suo studio lavoravano due giovani avvocati e tre impiegate.
Sorprendente";"pron. dimostr. ceux-ci, ceux-là, celles-ci";26.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
33;"scartabellare";;;0;"Un paio di volte ere venuta una giovane donna che si era presentata come la sua segretaria, chiedendo di poter conferire con lui per ragioni di ufficio. La prima volta i due si erano appartati in un angolo del soggiorno a parlare, scartabellando fogli che";"vt. feuilleter";26.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
34;"scongiurare";;;0;"La volta successiva, il loro incontro era finito in un alterco, con Terenzi che scongiurava la donna di non alzare la voce perché alcuni malati li stavano osservando.";"vt. conjurer: - un pericolo;
(supplicare) conjurer, supplier";26.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
35;"ripristinàre";;;0;"Ormai il gioco articolare di anca, ginocchio e piedi si andava ripristinando e i dolori, prima lancinanti, si erano ridotti a un modesto fastidio.";"vt. restaurer: - la facciata di una chiesa
(fig) rétablir: - l´ordine; - una ferrovia; - una legge";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
36;"spacciàrse";;;0;"""Devo rivelarle cose riservatissime: per questo sono in borghese e mi sono presentato alla sua segretaria come medico. Dunque, professore: nel suo reparto si trova degente un individuo che si spaccia per avvocato, Luigi Terenzi?""...""La vera professione di";"vrifl. se faire passer (pour)";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
37;"truffatore";;;0;"""Devo rivelarle cose riservatissime: per questo sono in borghese e mi sono presentato alla sua segretaria come medico. Dunque, professore: nel suo reparto si trova degente un individuo che si spaccia per avvocato, Luigi Terenzi?""...""La vera professione di";"escroc";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
38;"soffiàta";;"la";0;"Il capitano Nobili aggiunse allora che stava braccando Livio P. da circa un anno, ma senza risultati, quando una soffiata l´aveva messo sulla strada buona, dall´ospedale di L. fino al nostro reparto.";"(fig: spiata) indication, mouchardage";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
39;"raggìro";;"il";0;""" Livio P. è uno specialista in truffe e raggiri. Ladro lo è diventato per pagarsi i debiti di gioco: ha sperperato somme favolose in tutti i casinò del mondo, dall´Italia agli Stati Uniti. Vede, il fatto è che tanto è geniale nell´allestire truffe quanto";"la machination, le manège, la manigance";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
40;"allestire";;;0;""" Livio P. è uno specialista in truffe e raggiri. Ladro lo è diventato per pagarsi i debiti di gioco: ha sperperato somme favolose in tutti i casinò del mondo, dall´Italia agli Stati Uniti. Vede, il fatto è che tanto è geniale nell´allestire truffe quanto";"vt. préparer, organiser: - una festa
monter, mettre en scène: - una commedia";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
41;"iellato";;;0;""" Livio P. è uno specialista in truffe e raggiri. Ladro lo è diventato per pagarsi i debiti di gioco: ha sperperato somme favolose in tutti i casinò del mondo, dall´Italia agli Stati Uniti. Vede, il fatto è che tanto è geniale nell´allestire truffe quanto";"??";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
42;"sperperàre";;;0;""" Livio P. è uno specialista in truffe e raggiri. Ladro lo è diventato per pagarsi i debiti di gioco: ha sperperato somme favolose in tutti i casinò del mondo, dall´Italia agli Stati Uniti. Vede, il fatto è che tanto è geniale nell´allestire truffe quanto";"vt. gaspiller, dissiper";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
43;"biscazzière";;"il";0;"""Il codice lo conosce com un vero avvocato"" disse. E, mutando tono, aggiunse: ""Mi sbaglio, professore, o lei per questo biscazziere nutre una certa simpatia?""";"le tenancier de tripot;
habitué des tripots";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
44;"combùtta";;"la";0;"Aveva finito col mettersi in combutta con una banda di falsari ricercata dalle polizie di tutta Europa, Interpol in specie.";"la bande, la clique";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
45;"avviàre";;;0;"Gli domandai da quanto tempo lavorasse in coppia con la ragazza dai capelli rossi. Rispose: ""Da circa un anno"". E dopo poco: ""Per Anna provo rimorso, perché sono io che l´ho avviata al gioco"".";"vt. diriger (fig) - q. agli studi giuridici
acheminer: - la corrispondenza
commencer, mettre en train: - una nuova costruzzione";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
46;"foraggiàre";;;0;"Gli chiesi della sua compagna: ""Anna?...Be´, dalla faccenda di Zurigo sono riuscito a tenerla fuori. Per il resto si troverà un altro che la foraggi e tra una settimana di me non si ricorderà più"".";"vt. affourager; 
(fig) subventionner";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
47;"garbo";;"il";0;"I malati, alla vigilia della sua dimissione, proposero di festeggiarlo. Ma Terenzi, con il consueto garbo, li convinse a non far niente, accennando molto vagamente a un lutto di famiglia.";"la grâce: cantare con -
la gentillesse: chiedere qc con -
la politesse: trattare q. con -";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
48;"accennare";;;0;"I malati, alla vigilia della sua dimissione, proposero di festeggiarlo. Ma Terenzi, con il consueto garbo, li convinse a non far niente, accennando molto vagamente a un lutto di famiglia.";"sembler: la pioggia non accennava a smettere
faire allusion: vorrei solo - alla questione
laisser entendre: come le avevo accennato nella lettera";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
49;"varcàre";;;0;"Appena la vettura della giovane donna ebbe varcato il cancello, si trovò la strada sbarrata da due automezzi dei carbinieri.";"vt. franchir: - la frontera
(fig) dépasser: - la cinquantina";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
50;"cancèllo";;"il";0;"Appena la vettura della giovane donna ebbe varcato il cancello, si trovò la strada sbarrata da due automezzi dei carbinieri.";"la grille";29.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
51;"grigiòre";;"il";0;"Molte persone soffrono in questo modo giorno dopo giorno per tutta la vita, immerse in un grigiore permanente che nei casi peggiori può trapassare nella completa oscurità.";"(pr e fig) la grisaille";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
52;"guasto";;;0;"Cercano disperatamente spiegazioni plausibili del loro stato: una volta è la cattiva stagione, un´altra è che hanno dormito male o hanno mangiato qualcosa di guasto, oppure hanno litigato col principale. E quando poi non sanno più a che cosa appigliarsi, ";"agg en panne: motore guasto
- avarié, abîmé: carne guasta";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
53;"appiglàrsi";;;0;"Cercano disperatamente spiegazioni plausibili del loro stato: una volta è la cattiva stagione, un´altra è che hanno dormito male o hanno mangiato qualcosa di guasto, oppure hanno litigato col principale. E quando poi non sanno più a che cosa appigliarsi, ";"vrif (pr e fig) s´accrocher: (fig) - a un pretesto";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
54;"sopravvènto";;;0;"Si perde la capacità di concentrazione, mentre scompare anche il desiderio sessuale. In molti casi a tutto questo si aggiungono dolori cronici, che a volte prendono il sopravvento, tanto da occultare completamente i sintomi depressivi.";"avv e agg. (fig) avantage: avere il - su q.; prendere il -";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
55;"scomparìre";;;0;"Si perde la capacità di concentrazione, mentre scompare anche il desiderio sessuale. In molti casi a tutto questo si aggiungono dolori cronici, che a volte prendono il sopravvento, tanto da occultare completamente i sintomi depressivi.";"vintr. disparaître";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
56;"raddoppiàre";;;0;"Altri studi epidemiologici mostrano un chiaro aumento dell´incidenza di questa malattia, come risulta, ad esempio, da un importante lavoro svedese in cui si è seguito regolarmente nel tempo un campione rappresentativo della popolazione e dal quale è emers";"vtr e intr. doubler: - la paga
(intensificare) redoubler";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
57;"incòrrere";;;0;"Quanto più numerose sono le persone che incorrono in stati depressivi, tanto più pressante diventa la domanda sulle cause della malattia.";"vi. encourir, risquer: - in una multa
- s´exposer à, tomber (dans): - nel ridicolo";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
58;"scarso";;;0;"Ma anche se le certezze sono ancora scarse, abbiamo nel frattempo una gran quantità di ricerche genetiche e psicologiche, che offrono approcci molto promettenti.";"agg 1. maigre: scarse risorse
2. (insufficiente) insuffisant
3. pauvre: libro - di illustrazioni";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
59;"scatenàre";;;0;"Le depressioni psicogene, dette talvolta reattive o esogene, sono condizionate dall´ambiente, cioè scatenate soprattutto da esperienze stressanti.";"(fig) vtr. exciter, déchaîner, déclencher";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
60;"soggiacére";;;0;"Dato che in queste forme (depressioni endogene) non si riesce a individuare né uno stato patologico soggiacente, né un´esperienza scatenante, si suppone da tempo l´intervento di un fattore ereditario.";"vi. se soumettre, se plier";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
61;"sterminàto";;;0;"Il nostro sistema nervoso consiste in una rete sterminata di cellule collegate fra loro. Gli impulsi nervosi si trasmettono da un neurone all´altro attraverso uno spazio vuoto, la sinapsi.";"agg. illimité, immense, infini";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
62;"rassègna";;"la";0;"Non c´è ricerca o rassegna da cui non risulti che sono soprattuto le donne a soffrire di depressione. Come regola empirica vale questa: su tre pazienti, due sono donne.";"1. la revue: - della stampa
2. (resconto) compte rendu
3. (mostra) exposition";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
63;"càrico";;"il";0;"Anziché contrapporre una forma primaria e biologica di depressione ad una secondaria, i dati empirici suggeriscono il modello di un´interazione, in cui un eccessivo carico di tipo psicosociale collabora o concorre con un carico di tipo neurofisiologico.";"1. (atto del caricare) le chargement
2. (ciò che viene caricato) la charge, le chargement
3. (onere, peso) la charge, le poids: il - della responsabilità; - fiscale, tributario";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
64;"trascuràre";;;0;"Il ruolo dei fattori psicosociali non deve quindi essere trascurato. Tutta una branca della ricerca, la cosidetta Life Events Research, studia da anni la correlazione fra eventi che alterano la situazione di vita ed episodi depressivi.";"vtr. 1. négliger: - la famiglia
2. (dimenticare) oublier, omettre
3. (fig) mépriser: - i particolari";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
65;"sradicàre";;;0;"Nelle donne la depressione è precipitata, secondo una ricerca di Paul Kielholz, da conflitti sentimentali, contrasti coniugali, cui seguono solitudine, isolamento e sradicamento, mancanza di rapporti interpersonali.";"vt. (pr. e fig.) déraciner";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
66;"ribàttere";;;0;"Gli antidepressivi, secondo questi critici, non sarebbero veramente d´aiuto: mon possono risolvere i problemi di base. I sostenitori dell´intervento farmacologico ribattono: che giova a un depresso continuare per anni a distendersi sul lettino dell´analis";"(fig) répliquer, rétorquer: non ha avuto il coraggio di -
(fig) insister: - sulla stessa affermazione
(sport) renvoyer (balle)";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
67;"giovàre";;;0;"Gli antidepressivi, secondo questi critici, non sarebbero veramente d´aiuto: mon possono risolvere i problemi di base. I sostenitori dell´intervento farmacologico ribattono: che giova a un depresso continuare per anni a distendersi sul lettino dell´analis";"vi. 1. être utile: - alla famiglia
2. réussir: il mare gli giova";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
68;"inchiodàre";;;0;"La depressione inchioda in una posizione di scacco matto: quando una persona non ha più la forza per lottare la costringe a fermarsi.";"vt. clouer: - una cassa; (fig) - a letto
(fig) restare inchiodato dallo stupore
vi pron (fig) se bloquer";2.5.1996 00:00:00;1.7.1991 00:00:00;2;"Un spiraglio di luce";;1,00;0,00;0,00;0
69;"impiegàre";;;0;"Gli articoli del CAP (codice di autodisciplina pubblicitaria) che regolano l´impiego di tematiche di natura sessuale nei messaggi pubblicitari sono i due seguenti.";"vt. employer: - il tempo libero a leggere
(denaro) investir, placer
(dare lavoro) engager, embaucher";6.5.1996 00:00:00;1.9.1990 00:00:00;2;"Sesso e vendite: esperienze di uno psicologo ne iurì dell´autodisciplina pubblicitaria";;1,00;0,00;0,00;0
70;"palése";;;0;"Il ricorso alla suggestione erotica, sia in forma palese che con modalità più sottilmente allusive, è uno degli aspetti più evidenti del linguaggio pubblicitario, costantemente alla ricerca di temi d´impatto con cui catturare l´attenzione dei consumatori.";"agg. évident, manifeste, visible";6.5.1996 00:00:00;1.9.1990 00:00:00;2;"Sesso e vendite: esperienze di uno psicologo ne iurì dell´autodisciplina pubblicitaria";;1,00;0,00;0,00;0
71;"ordinaménto";;"l´";0;"Per una più precisa valutazione delle decisioni è utile tenere presente che, essendo quello autodisciplinare un ordinamento strettamente privato, la normativa (CAP) acquista la sua ragion d´essere e il suo significato specifico solo entro i limiti circosc";"s.m. 1 (disposizione ordinata) ordonnance, ordre
2. (complesso di disposizioni) système, réglement";6.5.1996 00:00:00;1.9.1990 00:00:00;2;"Sesso e vendite: esperienze di uno psicologo ne iurì dell´autodisciplina pubblicitaria";;1,00;0,00;0,00;0
72;"mòsso";;;0;"Ai fini di una maggior chiarezza espositiva, la materia sarà organizzata secondo il criterio dei vari tipi di accuse mosse agli annunci incriminati.";"agg. (fig) varié: paesaggio -; 
(fig) vif, rapide: un ritmo alquanto -
(del mare) agité, houleux";6.5.1996 00:00:00;1.9.1990 00:00:00;2;"Sesso e vendite: esperienze di uno psicologo ne iurì dell´autodisciplina pubblicitaria";;1,00;0,00;0,00;0
