"Word";"Sentence"
"appartàrsi";"Al termine delle sedute terapeutiche, anziché appartarsi, cercava di stabilire rapporti cordiali con gli altri degenti: chiedeva notizie sui loro infortuni, li incoraggiava.
- appartarsi dagli altri"
"degènte";"Al termine delle sedute terapeutiche, anziché appartarsi, cercava di stabilire rapporti cordiali con gli altri degenti: chiedeva notizie sui loro infortuni, li incoraggiava."
"stesura";"Dopo una settimana, nelle ore libere dalle cure cominciò a occuparsi più concretamente dei problemi - personali o legali- dei malati. Iniziò con consigli, pareri, poi passò alla stesura di lettere, istanze, comparse. Prima di avviare questa attività - che"
"civetteria";"Dopo una settimana, nelle ore libere dalle cure cominciò a occuparsi più concretamente dei problemi - personali o legali- dei malati. Iniziò con consigli, pareri, poi passò alla stesura di lettere, istanze, comparse. Prima di avviare questa attività - che"
"avviàre";"Dopo una settimana, nelle ore libere dalle cure cominciò a occuparsi più concretamente dei problemi - personali o legali- dei malati. Iniziò con consigli, pareri, poi passò alla stesura di lettere, istanze, comparse. Prima di avviare questa attività - che"
"sopruso";"L´avvocato mi spiegò che c´erano malati bisognosi di assistenza giuridica poiché, per timidezza o per mancanza di soldi, non potevano rivolgersi al tribunale rimanendo così vittime di soprusi e ingiustizie."
"postumi";"""Prendiamo il caso del Viganò, quel ragazzo brianzolo che ha perso quattro dita della mano sotto una pressa. L´Istituto assicuratore si rifiuta di pagare i postumi invalidanti permanenti, sostenendo chi il Viganò va soggetto a crisi epilettiche."""
"brianzolo";"""Prendiamo il caso del Viganò, quel ragazzo brianzolo che ha perso quattro dita della mano sotto una pressa. L´Istituto assicuratore si rifiuta di pagare i postumi invalidanti permanenti, sostenendo chi il Viganò va soggetto a crisi epilettiche."""
"scuotere";"Vignoli, allora, ci guardò e intervenne, scuotendo il capo: "" Eppure in quell´uomo cè qualcosa di poco chiaro""
- la triste notizia l´ha scosso"
"rilievo";"In verità, il rilievo di Vignoli sulle mancate visite a Terenzi aveva un fondamento sul quale da tempo riflettevo. Parlando un giorno con suor Angela, Terenzi aveva rivelato che nel suo studio lavoravano due giovani avvocati e tre impiegate.
Sorprendente"
"costoro";"In verità, il rilievo di Vignoli sulle mancate visite a Terenzi aveva un fondamento sul quale da tempo riflettevo. Parlando un giorno con suor Angela, Terenzi aveva rivelato che nel suo studio lavoravano due giovani avvocati e tre impiegate.
Sorprendente"
"scartabellare";"Un paio di volte ere venuta una giovane donna che si era presentata come la sua segretaria, chiedendo di poter conferire con lui per ragioni di ufficio. La prima volta i due si erano appartati in un angolo del soggiorno a parlare, scartabellando fogli che"
"scongiurare";"La volta successiva, il loro incontro era finito in un alterco, con Terenzi che scongiurava la donna di non alzare la voce perché alcuni malati li stavano osservando."
"ripristinàre";"Ormai il gioco articolare di anca, ginocchio e piedi si andava ripristinando e i dolori, prima lancinanti, si erano ridotti a un modesto fastidio."
"spacciàrse";"""Devo rivelarle cose riservatissime: per questo sono in borghese e mi sono presentato alla sua segretaria come medico. Dunque, professore: nel suo reparto si trova degente un individuo che si spaccia per avvocato, Luigi Terenzi?""...""La vera professione di"
"truffatore";"""Devo rivelarle cose riservatissime: per questo sono in borghese e mi sono presentato alla sua segretaria come medico. Dunque, professore: nel suo reparto si trova degente un individuo che si spaccia per avvocato, Luigi Terenzi?""...""La vera professione di"
"soffiàta";"Il capitano Nobili aggiunse allora che stava braccando Livio P. da circa un anno, ma senza risultati, quando una soffiata l´aveva messo sulla strada buona, dall´ospedale di L. fino al nostro reparto."
"raggìro";""" Livio P. è uno specialista in truffe e raggiri. Ladro lo è diventato per pagarsi i debiti di gioco: ha sperperato somme favolose in tutti i casinò del mondo, dall´Italia agli Stati Uniti. Vede, il fatto è che tanto è geniale nell´allestire truffe quanto"
"allestire";""" Livio P. è uno specialista in truffe e raggiri. Ladro lo è diventato per pagarsi i debiti di gioco: ha sperperato somme favolose in tutti i casinò del mondo, dall´Italia agli Stati Uniti. Vede, il fatto è che tanto è geniale nell´allestire truffe quanto"
"iellato";""" Livio P. è uno specialista in truffe e raggiri. Ladro lo è diventato per pagarsi i debiti di gioco: ha sperperato somme favolose in tutti i casinò del mondo, dall´Italia agli Stati Uniti. Vede, il fatto è che tanto è geniale nell´allestire truffe quanto"
"sperperàre";""" Livio P. è uno specialista in truffe e raggiri. Ladro lo è diventato per pagarsi i debiti di gioco: ha sperperato somme favolose in tutti i casinò del mondo, dall´Italia agli Stati Uniti. Vede, il fatto è che tanto è geniale nell´allestire truffe quanto"
"biscazzière";"""Il codice lo conosce com un vero avvocato"" disse. E, mutando tono, aggiunse: ""Mi sbaglio, professore, o lei per questo biscazziere nutre una certa simpatia?"""
"combùtta";"Aveva finito col mettersi in combutta con una banda di falsari ricercata dalle polizie di tutta Europa, Interpol in specie."
"avviàre";"Gli domandai da quanto tempo lavorasse in coppia con la ragazza dai capelli rossi. Rispose: ""Da circa un anno"". E dopo poco: ""Per Anna provo rimorso, perché sono io che l´ho avviata al gioco""."
"foraggiàre";"Gli chiesi della sua compagna: ""Anna?...Be´, dalla faccenda di Zurigo sono riuscito a tenerla fuori. Per il resto si troverà un altro che la foraggi e tra una settimana di me non si ricorderà più""."
"garbo";"I malati, alla vigilia della sua dimissione, proposero di festeggiarlo. Ma Terenzi, con il consueto garbo, li convinse a non far niente, accennando molto vagamente a un lutto di famiglia."
"accennare";"I malati, alla vigilia della sua dimissione, proposero di festeggiarlo. Ma Terenzi, con il consueto garbo, li convinse a non far niente, accennando molto vagamente a un lutto di famiglia."
"varcàre";"Appena la vettura della giovane donna ebbe varcato il cancello, si trovò la strada sbarrata da due automezzi dei carbinieri."
"cancèllo";"Appena la vettura della giovane donna ebbe varcato il cancello, si trovò la strada sbarrata da due automezzi dei carbinieri."
"grigiòre";"Molte persone soffrono in questo modo giorno dopo giorno per tutta la vita, immerse in un grigiore permanente che nei casi peggiori può trapassare nella completa oscurità."
"guasto";"Cercano disperatamente spiegazioni plausibili del loro stato: una volta è la cattiva stagione, un´altra è che hanno dormito male o hanno mangiato qualcosa di guasto, oppure hanno litigato col principale. E quando poi non sanno più a che cosa appigliarsi, "
"appiglàrsi";"Cercano disperatamente spiegazioni plausibili del loro stato: una volta è la cattiva stagione, un´altra è che hanno dormito male o hanno mangiato qualcosa di guasto, oppure hanno litigato col principale. E quando poi non sanno più a che cosa appigliarsi, "
"sopravvènto";"Si perde la capacità di concentrazione, mentre scompare anche il desiderio sessuale. In molti casi a tutto questo si aggiungono dolori cronici, che a volte prendono il sopravvento, tanto da occultare completamente i sintomi depressivi."
"scomparìre";"Si perde la capacità di concentrazione, mentre scompare anche il desiderio sessuale. In molti casi a tutto questo si aggiungono dolori cronici, che a volte prendono il sopravvento, tanto da occultare completamente i sintomi depressivi."
"raddoppiàre";"Altri studi epidemiologici mostrano un chiaro aumento dell´incidenza di questa malattia, come risulta, ad esempio, da un importante lavoro svedese in cui si è seguito regolarmente nel tempo un campione rappresentativo della popolazione e dal quale è emers"
"incòrrere";"Quanto più numerose sono le persone che incorrono in stati depressivi, tanto più pressante diventa la domanda sulle cause della malattia."
"scarso";"Ma anche se le certezze sono ancora scarse, abbiamo nel frattempo una gran quantità di ricerche genetiche e psicologiche, che offrono approcci molto promettenti."
"scatenàre";"Le depressioni psicogene, dette talvolta reattive o esogene, sono condizionate dall´ambiente, cioè scatenate soprattutto da esperienze stressanti."
"soggiacére";"Dato che in queste forme (depressioni endogene) non si riesce a individuare né uno stato patologico soggiacente, né un´esperienza scatenante, si suppone da tempo l´intervento di un fattore ereditario."
"sterminàto";"Il nostro sistema nervoso consiste in una rete sterminata di cellule collegate fra loro. Gli impulsi nervosi si trasmettono da un neurone all´altro attraverso uno spazio vuoto, la sinapsi."
"rassègna";"Non c´è ricerca o rassegna da cui non risulti che sono soprattuto le donne a soffrire di depressione. Come regola empirica vale questa: su tre pazienti, due sono donne."
"càrico";"Anziché contrapporre una forma primaria e biologica di depressione ad una secondaria, i dati empirici suggeriscono il modello di un´interazione, in cui un eccessivo carico di tipo psicosociale collabora o concorre con un carico di tipo neurofisiologico."
"trascuràre";"Il ruolo dei fattori psicosociali non deve quindi essere trascurato. Tutta una branca della ricerca, la cosidetta Life Events Research, studia da anni la correlazione fra eventi che alterano la situazione di vita ed episodi depressivi."
"sradicàre";"Nelle donne la depressione è precipitata, secondo una ricerca di Paul Kielholz, da conflitti sentimentali, contrasti coniugali, cui seguono solitudine, isolamento e sradicamento, mancanza di rapporti interpersonali."
"ribàttere";"Gli antidepressivi, secondo questi critici, non sarebbero veramente d´aiuto: mon possono risolvere i problemi di base. I sostenitori dell´intervento farmacologico ribattono: che giova a un depresso continuare per anni a distendersi sul lettino dell´analis"
"giovàre";"Gli antidepressivi, secondo questi critici, non sarebbero veramente d´aiuto: mon possono risolvere i problemi di base. I sostenitori dell´intervento farmacologico ribattono: che giova a un depresso continuare per anni a distendersi sul lettino dell´analis"
"inchiodàre";"La depressione inchioda in una posizione di scacco matto: quando una persona non ha più la forza per lottare la costringe a fermarsi."
"impiegàre";"Gli articoli del CAP (codice di autodisciplina pubblicitaria) che regolano l´impiego di tematiche di natura sessuale nei messaggi pubblicitari sono i due seguenti."
"palése";"Il ricorso alla suggestione erotica, sia in forma palese che con modalità più sottilmente allusive, è uno degli aspetti più evidenti del linguaggio pubblicitario, costantemente alla ricerca di temi d´impatto con cui catturare l´attenzione dei consumatori."
"ordinaménto";"Per una più precisa valutazione delle decisioni è utile tenere presente che, essendo quello autodisciplinare un ordinamento strettamente privato, la normativa (CAP) acquista la sua ragion d´essere e il suo significato specifico solo entro i limiti circosc"
"mòsso";"Ai fini di una maggior chiarezza espositiva, la materia sarà organizzata secondo il criterio dei vari tipi di accuse mosse agli annunci incriminati."
"sorrèggere";"È possibile affermare che più o meno tutte le forze motivazionali che sorreggono l´agire umano, anche quelle più intime e private, sono state associate all´immagine dei prodotti, presentate come possibili gratificazioni fornite dal loro possesso, e quindi"
"urtàre";"Il codice non vieta il ricorso all´erotismo in assoluto, ma solo quelle utilizzazioni della pulsione sessuale che possano risultare volgari, indecenti, urtare la sensibilità dei consumatori e il loro senso del pudore."
"istànza";"L´istanza sottolineava la gratuità dell´utilizzazione di tali particolari anatomici rispetto al prodotto, puntualizzando che nulla ci sarebbe da obiettare sulla presentazione di un seno femminile per pubblicizzare una crema rassodante, mentre essa appare "
"rassodàre";"L´istanza sottolineava la gratuità dell´utilizzazione di tali particolari anatomici rispetto al prodotto, puntualizzando che nulla ci sarebbe da obiettare sulla presentazione di un seno femminile per pubblicizzare una crema rassodante, mentre essa appare "
"fuorviàre = forviàre";"L´istanza sottolineava la gratuità dell´utilizzazione di tali particolari anatomici rispetto al prodotto, puntualizzando che nulla ci sarebbe da obiettare sulla presentazione di un seno femminile per pubblicizzare una crema rassodante, mentre essa appare "
"liceità";"Nella pronuncia relativa il Giurì sostenne la liceità dell´uso del corpo umano nudo come veicolo di promozione pubblicitaria, sia in generale che per i prodotti in questione. Nella fattispecie, afferma la sentenza....."
"nella fattispecie";"Nella pronuncia relativa il Giurì sostenne la liceità dell´uso del corpo umano nudo come veicolo di promozione pubblicitaria, sia in generale che per i prodotti in questione. Nella fattispecie, afferma la sentenza....."
"reputàre";"Ora, il Giurì reputa che, fintanto che il messaggio stabilisce una equivalenza fra la buccia vellutata della pesca ed il seno femminile con il capezzolo in evidenza, si rimane nell´ambito di una suggestione ormai talmente frequente da non destare eccessiv"
"bùccia";"Ora, il Giurì reputa che, fintanto che il messaggio stabilisce una equivalenza fra la buccia vellutata della pesca ed il seno femminile con il capezzolo in evidenza, si rimane nell´ambito di una suggestione ormai talmente frequente da non destare eccessiv"
"destàre";"Ora, il Giurì reputa che, fintanto che il messaggio stabilisce una equivalenza fra la buccia vellutata della pesca ed il seno femminile con il capezzolo in evidenza, si rimane nell´ambito di una suggestione ormai talmente frequente da non destare eccessiv"
"capézzolo";"Ora, il Giurì reputa che, fintanto che il messaggio stabilisce una equivalenza fra la buccia vellutata della pesca ed il seno femminile con il capezzolo in evidenza, si rimane nell´ambito di una suggestione ormai talmente frequente da non destare eccessiv"
"fónte";"Un´ulteriore ampia fonte di istanze, appellantisi alle norme sull´indecenza e la volgarità, concerne l´uso di espressioni intonate ad ambiguità o a doppisensi alludenti all´area sessuale."
"àmpio";"Un´ulteriore ampia fonte di istanze, appellantisi alle norme sull´indecenza e la volgarità, concerne l´uso di espressioni intonate ad ambiguità o a doppisensi alludenti all´area sessuale."
"intonàto";"Un´ulteriore ampia fonte di istanze, appellantisi alle norme sull´indecenza e la volgarità, concerne l´uso di espressioni intonate ad ambiguità o a doppisensi alludenti all´area sessuale."
"allùdere";"Un´ulteriore ampia fonte di istanze, appellantisi alle norme sull´indecenza e la volgarità, concerne l´uso di espressioni intonate ad ambiguità o a doppisensi alludenti all´area sessuale."
"ambientazióne";"Nel 1988 veniva sottoposta al Giurì la pubblicità delle caramelle Mental, basata su alcuni spot televisivi, una di ambientazione inglese e l´altra siciliana, in cui il protagonista pronunciava la frase ""Io ce l´ho profumato...l´alito""."
"sottopórre";"Nel 1988 veniva sottoposta al Giurì la pubblicità delle caramelle Mental, basata su alcuni spot televisivi, una di ambientazione inglese e l´altra siciliana, in cui il protagonista pronunciava la frase ""Io ce l´ho profumato...l´alito""."
"àlito";"Nel 1988 veniva sottoposta al Giurì la pubblicità delle caramelle Mental, basata su alcuni spot televisivi, una di ambientazione inglese e l´altra siciliana, in cui il protagonista pronunciava la frase ""Io ce l´ho profumato...l´alito""."
"fraintèndere";"La scenetta del siciliano: l´uomo tutto pervaso dalla virilità caricaturale tipica di una stereotipata rappresentazione di sicilianità, la donna assai maliziosa sia quando fingeva di avere frainteso l´espressione del maschio (""Io ce l´ho profumato""), sia "
"precisazióne";"La scenetta del siciliano: l´uomo tutto pervaso dalla virilità caricaturale tipica di una stereotipata rappresentazione di sicilianità, la donna assai maliziosa sia quando fingeva di avere frainteso l´espressione del maschio (""Io ce l´ho profumato""), sia "
"pervàdere";"La scenetta del siciliano: l´uomo tutto pervaso dalla virilità caricaturale tipica di una stereotipata rappresentazione di sicilianità, la donna assai maliziosa sia quando fingeva di avere frainteso l´espressione del maschio (""Io ce l´ho profumato""), sia "
"stàcco";"La difesa sosteneva che nei telecomunicati, il personaggio pronunciava la frase con uno stacco significativo fra ""Io ce l´ho sempre"" e ""Durex"", cosicché risultava indubitabile lo specifico ed exclusivo riferimento al prodotto."
"cosicché";"La difesa sosteneva che nei telecomunicati, il personaggio pronunciava la frase con uno stacco significativo fra ""Io ce l´ho sempre"" e ""Durex"", cosicché risultava indubitabile lo specifico ed exclusivo riferimento al prodotto."
"rimproveràre";"Una nutrita serie di controversie è poi quella che rimprovera a certi messaggi pubblicitari l´uso di espressioni verbali o di immagini nemmeno velate dal paravento dell´ambiguità o del doppiosenso, ma a contenuto esplicitamente indecente e volgare."
"svòlgere";"Di condanna è stata anche la sentenza contro una campagna di affissioni svolta dalla società Primizie, per promuovere capi di abbligliamento per donna e bambino, basata su un manifesto rappresentante un  bambino e una bambina di circa 5 anni, seduti l´uno"
"càpo";"Di condanna è stata anche la sentenza contro una campagna di affissioni svolta dalla società Primizie, per promuovere capi di abbligliamento per donna e bambino, basata su un manifesto rappresentante un  bambino e una bambina di circa 5 anni, seduti l´uno"
"mutandina";"Di condanna è stata anche la sentenza contro una campagna di affissioni svolta dalla società Primizie, per promuovere capi di abbligliamento per donna e bambino, basata su un manifesto rappresentante un  bambino e una bambina di circa 5 anni, seduti l´uno"
"manifèsto";"Di condanna è stata anche la sentenza contro una campagna di affissioni svolta dalla società Primizie, per promuovere capi di abbligliamento per donna e bambino, basata su un manifesto rappresentante un  bambino e una bambina di circa 5 anni, seduti l´uno"
"bìmbo";"Di condanna è stata anche la sentenza contro una campagna di affissioni svolta dalla società Primizie, per promuovere capi di abbligliamento per donna e bambino, basata su un manifesto rappresentante un  bambino e una bambina di circa 5 anni, seduti l´uno"
"cómpiere";"Può ben darsi che la maggioranza delle persone, ed in particolare le persone mature, non si scandalizzerebbero affatto nel vedere casualmente su di una spiaggia, compiuto da due bambini, il gesto rappresentato nei manifesti, ed anzi ne resterebbero intene"
"intenerìre";"Può ben darsi che la maggioranza delle persone, ed in particolare le persone mature, non si scandalizzerebbero affatto nel vedere casualmente su di una spiaggia, compiuto da due bambini, il gesto rappresentato nei manifesti, ed anzi ne resterebbero intene"
"ànzi";"Può ben darsi che la maggioranza delle persone, ed in particolare le persone mature, non si scandalizzerebbero affatto nel vedere casualmente su di una spiaggia, compiuto da due bambini, il gesto rappresentato nei manifesti, ed anzi ne resterebbero intene"
"radunàre";"Può ben darsi che la maggioranza delle persone, ed in particolare le persone mature, non si scandalizzerebbero affatto nel vedere casualmente su di una spiaggia, compiuto da due bambini, il gesto rappresentato nei manifesti, ed anzi ne resterebbero intene"
"affidàre";"Di particolare interesse per la problematica considerata sono poi quei messaggi in cui l´allusione sessuale è affidata non tanto a immagini dirette ed esplicite, quanto a suggestioni più latenti ed indirette."
"incòngruo";"Inoltre, il contesto contiene elementi incongrui e dissonanti rispetto a come realisticamente si può configurare un´orgia sessuale: l´ambientazione in un teatro risulta piuttosto inconsueta, molti dei personnaggi, dall´abbigliamento e dall´aria raffinata,"
"inconsuèto";"Inoltre, il contesto contiene elementi incongrui e dissonanti rispetto a come realisticamente si può configurare un´orgia sessuale: l´ambientazione in un teatro risulta piuttosto inconsueta, molti dei personnaggi, dall´abbigliamento e dall´aria raffinata,"
"apparìre";"Inoltre, il contesto contiene elementi incongrui e dissonanti rispetto a come realisticamente si può configurare un´orgia sessuale: l´ambientazione in un teatro risulta piuttosto inconsueta, molti dei personnaggi, dall´abbigliamento e dall´aria raffinata,"
"benintéso";"In precendenti decisioni, il Giurì aveva optato per la non perseguibilità del linguaggio puramente simbolico, beninteso, nei casi in cui il simbolo non appaia immediatamente trasparente ed il contesto non favorisca in modo inequivocabile la diretta decodi"
"adoperàre";"Tale pubblicità era stata denunciata poiché l´immagine femminile così proposta, privata del resto della figura, tenuto conto del testo del messaggio, non rispetterebbe la dignità della persona, essendo il corpo femminile, e in ispecie una parte di esso, a"
"alla strégua di";"Tale pubblicità era stata denunciata poiché l´immagine femminile così proposta, privata del resto della figura, tenuto conto del testo del messaggio, non rispetterebbe la dignità della persona, essendo il corpo femminile, e in ispecie una parte di esso, a"
"gradévole";"Un uomo può conquistare l´amore di una donna, una donna l´amore di un uomo, giovandosi di armi e strumenti i più disparati, di cui la gradevolezza della vicinanza fisica non è il meno importante, ed è appunto ciò per cui serve un profumo."
"boccetta";"Tale messaggio, sotto la scritta di testa ""Baldoria. Dichiaratamente antifemminista"", e la riproduzione di una boccetta di eau de toilette ""Baldoria"", portava la raffigurazione fotografica di una bella e giovane donna bionda, in abito lungo vistosamente s"
"raffigurazióne";"Tale messaggio, sotto la scritta di testa ""Baldoria. Dichiaratamente antifemminista"", e la riproduzione di una boccetta di eau de toilette ""Baldoria"", portava la raffigurazione fotografica di una bella e giovane donna bionda, in abito lungo vistosamente s"
"essere in grado di";"Di recente sono state messe a punto terapie brevi in grado di porre fine agli attacchi di ansia."
"svèlto";"""D´improviso il mio corpo è attraversato da una strana sensazione, divento nervosa e il cuore mi comincia a battere più svelto. Sono scossa da un tremito e ho paura di perdere il controllo."" Sono parole di una casalinga, che fra l´altro ha una grande paur"
"scòsso";"""D´improviso il mio corpo è attraversato da una strana sensazione, divento nervosa e il cuore mi comincia a battere più svelto. Sono scossa da un tremito e ho paura di perdere il controllo."" Sono parole di una casalinga, che fra l´altro ha una grande paur"
"casalìnga";"""D´improviso il mio corpo è attraversato da una strana sensazione, divento nervosa e il cuore mi comincia a battere più svelto. Sono scossa da un tremito e ho paura di perdere il controllo."" Sono parole di una casalinga, che fra l´altro ha una grande paur"
"fra (tra) l´altro";"""D´improviso il mio corpo è attraversato da una strana sensazione, divento nervosa e il cuore mi comincia a battere più svelto. Sono scossa da un tremito e ho paura di perdere il controllo."" Sono parole di una casalinga, che fra l´altro ha una grande paur"
"fare la códa";"Una volta ha avuto un attacco mentre faceva la coda alla cassa del supermercato; propio quando finalmente era arrivato il suo turno, aveva lasciato lì il carrello della spesa e fra gli sguardi meravigliati degli altri clienti si era precipitata fuori dal "
"sguàrdo";"Una volta ha avuto un attacco mentre faceva la coda alla cassa del supermercato; propio quando finalmente era arrivato il suo turno, aveva lasciato lì il carrello della spesa e fra gli sguardi meravigliati degli altri clienti si era precipitata fuori dal "
"corsìa d´emergenza";"Mentre viaggia in autostrada a 180 km/h, senza ragioni apparenti il cuore gli batte fortissimo. Con una manovra azzardata riesce a fermarsi nella corsia d´emergenza."
"avvertìre";"Una giovane pittrice ha venduto il suo primo quadro a un museo. Sta per telefonare al suo ragazzo per dargli la buona notizia, quando avverte un batticuore violentissimo."
"fùlmine";"Come fulmini a ciel sereno, attacchi di eccezionale malessere, colgono di sorpresa un buon numero di persone. Nella maggior parte dei casi non si riesce a trovare nessuna causa fisica e gli stessi pazienti in genere non sanno che cosa abbia scatenato quel"
"cògliere";"Come fulmini a ciel sereno, attacchi di eccezionale malessere, colgono di sorpresa un buon numero di persone. Nella maggior parte dei casi non si riesce a trovare nessuna causa fisica e gli stessi pazienti in genere non sanno che cosa abbia scatenato quel"
"scatenàre";"Come fulmini a ciel sereno, attacchi di eccezionale malessere, colgono di sorpresa un buon numero di persone. Nella maggior parte dei casi non si riesce a trovare nessuna causa fisica e gli stessi pazienti in genere non sanno che cosa abbia scatenato quel"
"ostacolàre";"Come fulmini a ciel sereno, attacchi di eccezionale malessere, colgono di sorpresa un buon numero di persone. Nella maggior parte dei casi non si riesce a trovare nessuna causa fisica e gli stessi pazienti in genere non sanno che cosa abbia scatenato quel"
"impaurìre";"Sulle prime il paziente non prova in realtà nessuna angoscia nel senso corrente della parola: sono piuttosto le violente reazioni fisiche a impaurirlo. Il paziente comincia ad evitare le situazioni in cui potrebbe sentirsi particolarmente a disagio o espo"
"sentirsi a disàgio";"Sulle prime il paziente non prova in realtà nessuna angoscia nel senso corrente della parola: sono piuttosto le violente reazioni fisiche a impaurirlo. Il paziente comincia ad evitare le situazioni in cui potrebbe sentirsi particolarmente a disagio o espo"
"malgràdo";"Pan era talmente brutto che la madre l´abbandonò quando vide che cos´aveva messo al mondo. Malgrado il suo fondamentale buon carattere, ogni tanto volgeva al cattivo. Per lo più andava in collera quando veniva disturbato nel sonno, specialmente a mezzogio"
"malcapitàto";"Pan era talmente brutto che la madre l´abbandonò quando vide che cos´aveva messo al mondo. Malgrado il suo fondamentale buon carattere, ogni tanto volgeva al cattivo. Per lo più andava in collera quando veniva disturbato nel sonno, specialmente a mezzogio"
"grégge";"Pan era talmente brutto che la madre l´abbandonò quando vide che cos´aveva messo al mondo. Malgrado il suo fondamentale buon carattere, ogni tanto volgeva al cattivo. Per lo più andava in collera quando veniva disturbato nel sonno, specialmente a mezzogio"
"sfruttàre";"Un´altra divinità greca con la particolare capacità di terrorizzare i nemici era Fobos, secondo la mitologia gemello di Deimos e figlio di Ares, dio della guerra. Molti guerrieri a quei tempi sfruttavano la capacità di Fobos di seminare il terrore, portan"
"spaventàre";"Un´altra divinità greca con la particolare capacità di terrorizzare i nemici era Fobos, secondo la mitologia gemello di Deimos e figlio di Ares, dio della guerra. Molti guerrieri a quei tempi sfruttavano la capacità di Fobos di seminare il terrore, portan"
"nemìco";"Un´altra divinità greca con la particolare capacità di terrorizzare i nemici era Fobos, secondo la mitologia gemello di Deimos e figlio di Ares, dio della guerra. Molti guerrieri a quei tempi sfruttavano la capacità di Fobos di seminare il terrore, portan"
"comparìre";"Certo che se non si crede più agli dei greci, la causa degli improvvisi attachi di panico è meno chiara. Il fenomeno compare in molte persone, anche fondamentalmente sane: ne avevano, per esempio Sigmund Freud. La diffusione del problema è allarmante: un "
